chlorophyll_meas_id,visit_id,bromeliad_id,v_filtered,solvent_added,v_water_entered,v_solvent_entered,chlorophyll_raw,,,
47,1,42,4.4,5,1,1,0.95,,,
48,1,43,4.7,5,1,1,1.82,,,
49,1,44,4.5,5,1,1,0.43,,,
50,1,45,4.6,5,1,1,0.65,,,
51,1,46,4.4,5,1,1,0.78,,,
52,1,47,4.8,5,1,1,0.77,,,
53,1,48,4.4,5,1,1,0.23,,,
54,1,algal_culture,5,5,1,1,182.66,,,
55,2,acetone,0,0,1,1,-0.05,,,
56,2,1,3.6,5,1,1,27.79,,,
57,2,2,4.6,5,1,1,19.81,,,
58,2,3,5,5,1,1,16.7,,,
59,2,4,4.7,5,1,1,15.8,,,
60,2,5,4.8,5,1,1,12.84,,,
61,2,6,4.9,5,1,1,9.68,,,
62,2,7,5,5,1,1,13.41,,,
63,2,8,4.7,5,1,1,3.06,,,
64,2,9,4.8,5,1,1,11.54,,,
65,2,10,0,,,,,,,
66,2,acetone,0,0,1,1,0.07,,,
67,2,11,0,,,,,,,
68,2,12,4.8,5,1,1,18.53,,,
69,2,13,3.2,5,1,1,7.68,,,
70,2,14,5,5,1,1,110.6,,,
71,2,15,5,5,1,1,15.16,,,
72,2,16,4.8,5,1,1,8.97,,,
73,2,17,4.7,5,1,1,27.76,,,
74,2,18,4,5,1,1,30.56,,,
75,2,19,4.8,5,1,1,4.04,,,
76,2,20,4.8,5,1,1,6.82,,,
77,2,acetone,0,0,1,1,0.06,,,
78,2,21,4.6,5,1,1,24.43,,,
79,2,22,4.8,5,1,1,3.6,,,
80,2,23,5,5,1,1,3.78,,,
81,2,24,4.9,5,1,1,1.99,,,
82,2,25,5,5,1,1,8.49,,,
83,2,26,4.6,5,1,1,7.26,,,
84,2,27,4.9,5,1,1,14.3,,,
85,2,28,4.6,5,1,1,2.71,,,
86,2,29,5,5,1,1,5.38,,,
87,2,30,5,5,1,1,11.99,,,
88,2,acetone,0,0,1,1,0.07,,,
89,2,31,5,5,1,1,3.97,,,
90,2,32,4.8,5,1,1,4.39,,,
91,2,33,4.6,5,1,1,6.92,,,
92,2,34,3.5,5,1,1,5.69,,,
93,2,35,4.5,5,1,1,5.65,,,
94,2,36,4.6,5,1,1,5.2,,,
95,2,37,4.8,5,1,1,2.96,,,
96,2,38,4.6,5,1,1,2.98,,,
97,2,39,4.9,5,1,1,8.1,,,
98,2,40,4.8,5,1,1,23.78,,,
99,2,acetone,0,0,1,1,0.06,,,
100,2,41,4.8,5,1,1,13.53,,,
101,2,42,4.8,5,1,1,3.08,,,
102,2,43,5,5,1,1,23.05,,,
103,2,44,4.8,5,1,1,5.99,,,
104,2,45,4.9,5,1,1,28.92,,,
105,2,46,4.8,5,1,1,4.4,,,
106,2,47,4.3,5,1,1,13.17,,,
107,2,48,4.8,5,1,1,4.17,,,
108,3,acetone,0,0,1,1,0,,,
109,3,1,1.7,5,1,1,2.44,,,
110,3,2,3.9,5,1,1,16.48,,,
111,3,3,4.6,5,1,1,9.48,,,
112,3,4,2.4,5,1,1,1.9,,,
113,3,5,3.3,5,1,1,4.4,,,
114,3,6,4,5,1,1,6.96,,,
115,3,7,4.8,5,1,1,36.19,,,
116,3,8,4.6,5,1,1,3.81,,,
117,3,9,4.5,5,1,1,5.75,,,
118,3,10,0,,,,,,,
119,3,acetone,0,0,1,1,0,,,
120,3,11,0,,,,,,,
121,3,12,4.8,5,1,1,9.3,,,
122,3,13,1.3,5,1,1,2.48,,,
123,3,14,4.6,5,1,1,72.46,,,
124,3,15,4.6,5,1,1,14.88,,,
125,3,16,5,5,1,1,7.52,,,
126,3,17,5,5,1,1,6.35,,,
127,3,18,4.3,5,1,1,92.4,,,
128,3,19,4.3,5,1,1,5.87,,,
129,3,20,4.7,5,1,1,7.45,,,
130,3,acetone,0,0,1,1,-0.02,,,
131,3,21,5,5,1,1,99.43,,,
132,3,22,1,5,1,1,1.01,,,
133,3,23,5,5,1,1,8.98,,,
134,3,24,5,5,1,1,5.7,,,
135,3,25,4.9,5,1,1,4.7,,,
136,3,26,4.4,5,1,1,6.63,,,
137,3,27,4.9,5,1,1,17.64,,,
138,3,28,5,5,1,1,14.57,,,
139,3,29,2.1,5,1,1,2.95,,,
140,3,30,2.9,5,1,1,1.47,,,
141,3,acetone,0,0,1,1,-0.01,,,
142,3,31,4.7,5,1,1,2.95,,,
143,3,32,4.6,5,1,1,6.75,,,
144,3,33,4.7,5,1,1,9.51,,,
145,3,34,5,5,1,1,3.23,,,
146,3,35,4.4,5,1,1,9.98,,,
147,3,36,4.8,5,1,1,6.68,,,
148,3,37,4.9,5,1,1,2.84,,,
149,3,38,4.8,5,1,1,8.34,,,
150,3,39,4.5,5,1,1,4.7,,,
151,3,40,4.8,5,1,1,15.97,,,
152,3,acetone,0,0,1,1,-0.01,,,
153,3,41,3.8,5,1,1,11.53,,,
154,3,42,4.9,5,1,1,2.13,,,
155,3,43,4.9,5,1,1,14.07,,,
156,3,44,5,5,1,1,4.29,,,
157,3,45,4.9,5,1,1,28.84,,,
158,3,46,5,5,1,1,2.41,,,
159,3,47,4.5,5,1,1,7.97,,,
160,3,48,4.7,5,1,1,4.51,,,
161,3,blank,0,5,1,1,0.32,,,
162,3,blank,0,5,1,1,0.12,,,
163,4,acetone,0,0,1,1,-0.05,,,
164,4,1,0,,1,1,,,,
165,4,2,4.9,5,1,1,8.56,,,
166,4,3,4.7,5,1,1,3.91,,,
167,4,4,4.7,5,1,1,1.61,,,
168,4,5,1.8,5,1,1,1.54,,,
169,4,6,3,5,1,1,2.66,,,
170,4,7,5,5,1,1,4.77,,,
171,4,8,4.6,5,1,1,7.85,,,
172,4,9,5,5,1,1,14.02,,,
173,4,10,0,,1,1,,,,
174,4,acetone,0,0,1,1,-0.04,,,
175,4,11,0,,1,1,,,,
176,4,12,4.4,5,1,1,4.58,,,
177,4,13,1.9,5,1,1,3.96,,,
178,4,14,5,5,1,1,76.28,,,
179,4,15,4.5,5,1,1,4.54,,,
180,4,16,5,5,1,1,2.24,,,
181,4,17,2.7,5,1,1,4.08,,,
182,4,18,5,5,1,1,76.46,,,
183,4,19,1.9,5,1,1,1.43,,,
184,4,20,4.8,5,1,1,10.55,,,
185,4,acetone,0,0,1,1,-0.03,,,
186,4,21,5,5,1,1,23.71,,,
187,4,22,3.6,5,1,1,1.49,,,
188,4,23,4.6,5,1,1,12.08,,,
189,4,24,4.9,5,1,1,2.09,,,
190,4,25,4.9,5,1,1,22.22,,,
191,4,26,4.8,5,1,1,3.99,,,
192,4,27,5,5,1,1,68.09,,,
193,4,28,5,5,1,1,4.26,,,
194,4,29,4.7,5,1,1,2.4,,,
195,4,30,2,5,1,1,3.37,,,
196,4,acetone,0,0,1,1,-0.04,,,
197,4,31,5,5,1,1,7.48,,,
198,4,32,5,5,1,1,33.49,,,
199,4,33,5,5,1,1,22.1,,,
200,4,34,5,5,1,1,7.29,,,
201,4,35,4.8,5,1,1,13.64,,,
202,4,36,5,5,1,1,2.94,,,
203,4,37,5,5,1,1,28.53,,,
204,4,38,5,5,1,1,6.2,,,
205,4,39,5,5,1,1,66.62,,,
206,4,40,4.2,5,1,1,42.04,,,
207,4,acetone,0,0,1,1,-0.04,,,
208,4,41,4,5,1,1,17.24,,,
209,4,42,4.9,5,1,1,12.29,,,
210,4,43,5,5,1,1,37.81,,,
211,4,44,5,5,1,1,22.4,,,
212,4,45,5,5,1,1,75.04,,,
213,4,46,4.8,5,1,1,2.93,,,
214,4,47,4.9,5,1,1,6.92,,,
215,4,48,5,5,1,1,5.01,,,
216,4,blank,0,5,1,1,0.25,,,
217,4,blank,0,5,1,1,0.2,,,
218,5,acetone,0,0,1,1,-0.04,,,
219,5,1,3,5,1,1,0.63,,,
220,5,2,3.7,5,1,1,9.07,,,
221,5,3,3.2,5,1,1,8.16,,,
222,5,4,5,5,1,1,0.98,,,
223,5,5,0,,,,,,,
224,5,6,1.8,5,1,1,8.05,,,
225,5,7,3,5,1,1,16.01,,,
226,5,8,2.8,5,1,1,10.59,,,
227,5,9,4.6,5,1,1,2.84,,,
228,5,10,,,,,,,,
229,5,acetone,0,0,1,1,-0.05,,,
230,5,11,,,,,,,,
231,5,12,3,5,1,1,6.81,,,
232,5,13,3.2,5,1,1,47.61,,,
233,5,14,3,5,1,1,31.31,,,
234,5,15,2.9,5,1,1,2.45,,,
235,5,16,2.9,5,1,1,1.68,,,
236,5,17,3,5,1,1,1.79,,,
237,5,18,3,5,1,1,32.6,,,
238,5,19,2.2,5,1,1,15.67,,,
239,5,20,3,5,1,1,4.52,,,
240,5,acetone,0,0,1,1,-0.02,,,
241,5,21,5,5,1,1,25.14,,,
242,5,22,3,5,1,1,0.53,,,
243,5,23,4.6,5,1,1,5.94,,,
244,5,24,5,5,1,1,1.17,,,
245,5,25,2.9,5,1,1,10.67,,,
246,5,26,2.9,5,1,1,6.95,,,
247,5,27,3,5,1,1,3.14,,,
248,5,28,3,5,1,1,3.09,,,
249,5,29,3,5,1,1,18.76,,,
250,5,30,2.9,5,1,1,1.6,,,
251,5,acetone,0,0,1,1,-0.01,,,
252,5,31,2.7,5,1,1,24.94,,,
253,5,32,3,5,1,1,24.87,,,
254,5,33,3,5,1,1,8.78,,,
255,5,34,2.7,5,1,1,2.35,,,
256,5,35,2.8,5,1,1,8.28,,,
257,5,36,3,5,1,1,2.17,,,
258,5,37,3,5,1,1,8.14,,,
259,5,38,4.8,5,1,1,13.66,,,
260,5,39,5,5,1,1,29.18,,,
261,5,40,2.6,5,1,1,17.81,,,
262,5,acetone,0,0,1,1,-0.04,,,
263,5,41,2.8,5,1,1,3.89,,,
264,5,42,2.6,5,1,1,18.89,,,
265,5,43,2.7,5,1,1,17.39,,,
266,5,44,2.9,5,1,1,12.19,,,
267,5,45,3.2,5,1,1,31.45,,,
268,5,46,2.6,5,1,1,1.62,,,
269,5,47,3,5,1,1,8.67,,,
270,5,48,3,5,1,1,4.06,,,
271,5,blank,5,5,1,1,0.14,,,
272,5,blank,5,5,1,1,0.14,,,
273,6,acetone,0,0,1,1,-0.03,,,
274,6,1,4.6,5,1,1,2.05,,,
275,6,2,4.6,5,1,1,3.91,,,
276,6,3,4.4,5,1,1,6.63,,,
277,6,4,5,5,1,1,1.06,,,
278,6,5,3.2,5,1,1,1.1,,,
279,6,6,0,,,,,,,
280,6,7,4.8,5,1,1,17.89,,,
281,6,8,2.8,5,1,1,11.8,,,
282,6,9,4.8,5,1,1,10.24,,,
283,6,10,0,,,,,,,
284,6,acetone,0,0,1,1,0,,,
285,6,11,0,,,,,,,
286,6,12,4.7,5,1,1,13.49,,,
287,6,13,0,,,,,,,
288,6,14,4.8,5,1,1,50.76,,,
289,6,15,4.3,5,1,1,4.88,,,
290,6,16,3.2,5,1,1,4.09,,,
291,6,17,4.8,5,1,1,3.16,,,
292,6,18,4.8,5,1,1,19.04,,,
293,6,19,3.3,5,1,1,19.99,,,
294,6,20,4.9,5,1,1,31.01,,,
295,6,acetone,0,0,1,1,0.04,,,
296,6,21,5,5,1,1,14.15,,,
297,6,22,4.8,5,1,1,0.88,,,
298,6,23,4.8,5,1,1,7.14,,,
299,6,24,4.4,5,1,1,1.23,,,
300,6,25,4.8,5,1,1,25.88,,,
301,6,26,4.4,5,1,1,3.13,,,
302,6,27,0,,,,,,,
303,6,28,4.3,5,1,1,4.06,,,
304,6,29,0,,,,,,,
305,6,30,4.7,5,1,1,1.99,,,
306,6,acetone,0,0,1,1,0.04,,,
307,6,31,4.9,5,1,1,6.38,,,
308,6,32,4.4,5,1,1,37.91,,,
309,6,33,4.7,5,1,1,13.26,,,
310,6,34,4.4,5,1,1,3.02,,,
311,6,35,3.8,5,1,1,50.85,,,
312,6,36,4.8,5,1,1,21.61,,,
313,6,37,4.4,5,1,1,17.6,,,
314,6,38,3.7,5,1,1,6.42,,,
315,6,39,3.7,5,1,1,32.99,,,
316,6,40,4.8,5,1,1,19.53,,,
317,6,acetone,0,0,1,1,0.03,,,
318,6,41,4.6,5,1,1,3.93,,,
319,6,42,4.8,5,1,1,17.6,,,
320,6,43,4.6,5,1,1,8.3,,,
321,6,44,4.4,5,1,1,16.59,,,
322,6,45,4.6,5,1,1,31.21,,,
323,6,46,4.8,5,1,1,2.35,,,
324,6,47,4.5,5,1,1,14.37,,,
325,6,48,4.8,5,1,1,6.92,,,
326,6,blank,5,5,1,1,0.41,,,
327,6,blank,5,5,1,1,0.15,,,
328,H0,acetone,0,0,1,1,2.1,,,
329,H0,T1,3.8,5,1,1,11.99,,,
330,H0,T2,3.8,5,1,1,12.79,,,
331,H0,T3,3.8,5,1,1,3.88,,,
332,H0,T4,3.5,5,1,1,31.39,,,
333,H1,acetone,0,0,1,1,2.09,,,
334,H1,T1,3.8,5,1,1,10.5,,,
335,H1,T2,3.6,5,1,1,15.1,,,
336,H1,T3,3.8,5,1,1,4.97,,,
337,H1,T4,3.7,5,1,1,11.68,,,
338,H4,acetone,0,0,1,1,2.12,,,
339,H4,T1,3.9,5,1,1,29.68,,,
340,H4,T2,3.6,5,1,1,21.51,,,
341,H4,T3,3.8,5,1,1,7.74,,,
342,H4,T4,3.7,5,1,1,5.49,,,
343,H8,acetone,0,0,1,1,2.17,,,
344,H8,T1,3.8,5,1,1,12.07,,,
345,H8,T2,4,5,1,1,18.54,,,
346,H8,T3,3.6,5,1,1,5.26,,,
347,H8,T4,3.7,5,1,1,5.97,,,
348,H24,acetone,0,0,1,1,2.7,,,
349,H24,T1,3.6,5,1,1,8.85,,,
350,H24,T2,3.7,5,1,1,24.6,,,
351,H24,T3,3.4,5,1,1,4.37,,,
352,H24,T4,3.9,5,1,1,111.2,,,
353,H48,acetone,0,0,1,1,0.04,,,
354,H48,T1,2.6,5,1,1,46.82,,,
355,H48,T2,2.7,5,1,1,26.99,,,
356,H48,T3,3.4,5,1,1,8.24,,,
357,H48,T4,3.5,5,1,1,8,,,
,,,,,,,,,,
